State,Stream_ID,Site_ID,Site_Name,Pier_ID,Date,Time,US/DS,Pier_Type,Pier_Shape,Effective_Pier_Width,Skew_To_Flow,Approach_Velocity,Approach_Depth,Sediment_Transport,Bed_Material_Type,D16,D50,D84,D95,Sigma_Bed_Material,Debris_Effects,Scour_Depth,Accuracy
AK,Knik River,2,"Knik River at Old Glenn Highway near Palmer, AK",5,7/11/1965,15:30,Upstream,Single,Sharp,6,0,12,18,Live-bed,Non-cohesive,0.92,5,27,83,5.5,Unknown,3.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",7,6/28/1966,0:00,Upstream,Single,Round,5,0,3.2,6.5,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,2.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",5,6/24/1966,0:00,Upstream,Single,Round,5,0,5.9,10,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,4.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",1,6/28/1966,0:00,Upstream,Single,Round,5,0,3.1,3,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,1.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",2,6/24/1966,0:00,Upstream,Single,Round,5,0,5.1,6.5,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,2,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",2,6/28/1966,0:00,Upstream,Single,Round,5,0,3.2,3,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,2,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",3,6/17/1966,0:00,Upstream,Single,Round,5,0,1.6,4,Live-bed,Non-cohesive,0.08,0.58,4,14,6.9,Unknown,1,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",3,6/24/1966,0:00,Upstream,Single,Round,5,0,5.2,10,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,3,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",3,6/28/1966,0:00,Upstream,Single,Round,5,0,3.6,6,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,1.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",4,6/17/1966,0:00,Upstream,Single,Round,5,0,2.5,5,Live-bed,Non-cohesive,0.08,0.58,4,14,6.9,Unknown,1,0.5
